epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2334.98,0.72802,1.13867,0.48855,0.86487,0.48093,0.48707,0.49523,0.41621,0.48146,0.48743,0.49524,0.38648,0.65237,0.74465,0.45587,0.844,0.00120491,0.00120491,0.00120491
30,2414.89,0.74778,1.15017,0.49245,0.86599,0.97836,0.49218,0.49544,0.41871,0.97815,0.49174,0.49537,0.38645,0.64017,0.91188,0.45345,0.84872,0.0011884,0.0011884,0.0011884
31,2496.85,0.74773,1.16502,0.48508,0.86557,0.48293,0.48766,0.49565,0.43696,0.48222,0.48701,0.49554,0.37669,0.54352,0.7657,0.43425,0.83159,0.0011719,0.0011719,0.0011719
32,2576.02,0.70721,1.10566,0.47422,0.8611,0.97147,0.49174,0.49421,0.42582,0.97147,0.49174,0.49421,0.38802,0.64915,0.7094,0.47425,0.84218,0.0011554,0.0011554,0.0011554
33,2654.37,0.73126,1.12676,0.4803,0.86497,0.47935,0.48366,0.49324,0.43881,0.47935,0.48366,0.49322,0.38304,0.55053,0.7074,0.44961,0.83143,0.00113889,0.00113889,0.00113889
34,2734.49,0.71085,1.11413,0.48521,0.8574,0.97948,0.49605,0.49468,0.42571,0.97948,0.49605,0.49468,0.39735,0.6406,0.81822,0.44112,0.8428,0.00112239,0.00112239,0.00112239
35,2815.06,0.7252,1.16971,0.47391,0.86699,0.9821,0.49174,0.49503,0.43363,0.98175,0.49138,0.49493,0.38206,0.61174,0.78367,0.44895,0.83888,0.00110589,0.00110589,0.00110589
36,2894.96,0.69125,1.07726,0.44794,0.8556,0.48201,0.48994,0.49532,0.42505,0.48201,0.48994,0.49532,0.39276,0.64216,0.68355,0.4466,0.83755,0.00108938,0.00108938,0.00108938
37,2975.78,0.71837,1.11363,0.46204,0.85823,0.97742,0.48922,0.49374,0.42331,0.97717,0.48886,0.49372,0.40234,0.65977,0.81778,0.44255,0.84943,0.00107288,0.00107288,0.00107288
38,3057.71,0.70408,1.07095,0.4576,0.85811,0.97831,0.49113,0.49467,0.44262,0.97829,0.49064,0.49462,0.38642,0.54079,0.78524,0.41152,0.82542,0.00105638,0.00105638,0.00105638
39,3134.58,0.66518,1.04225,0.44391,0.85449,0.97826,0.48707,0.49384,0.43299,0.97826,0.48707,0.49384,0.37285,0.58617,0.83634,0.42589,0.83726,0.00103987,0.00103987,0.00103987
40,3214.19,0.69682,1.06568,0.44387,0.85817,0.9778,0.4947,0.4942,0.41588,0.9778,0.4947,0.4942,0.40508,0.72953,0.74328,0.44546,0.85079,0.00102337,0.00102337,0.00102337
41,3296.24,0.70389,1.09207,0.44453,0.8578,0.97696,0.49083,0.4933,0.43156,0.97696,0.49083,0.4933,0.40005,0.59107,0.64256,0.43605,0.837,0.00100687,0.00100687,0.00100687
42,3376.67,0.72236,1.11176,0.45336,0.86188,0.981,0.48599,0.4941,0.41977,0.981,0.48599,0.4941,0.40614,0.68326,0.7988,0.43612,0.85711,0.000990365,0.000990365,0.000990365
43,3456.89,0.69528,1.06601,0.43514,0.85145,0.9842,0.48958,0.49587,0.44425,0.984,0.48884,0.49585,0.40303,0.56372,0.70819,0.41002,0.82668,0.000973861,0.000973861,0.000973861
44,3537.46,0.71364,1.11259,0.44786,0.85579,0.98177,0.49174,0.49548,0.4323,0.98177,0.49174,0.49548,0.39646,0.60666,0.72088,0.42694,0.83968,0.000957358,0.000957358,0.000957358
45,3616.23,0.66462,1.00618,0.43065,0.84821,0.98267,0.48779,0.49442,0.43317,0.98267,0.48779,0.49442,0.39876,0.62173,0.77242,0.41049,0.83732,0.000940855,0.000940855,0.000940855
46,3696.78,0.67863,1.03814,0.43365,0.85344,0.98327,0.4824,0.49494,0.44258,0.98327,0.4824,0.49486,0.37695,0.54033,0.81425,0.40834,0.82468,0.000924352,0.000924352,0.000924352
47,3776.08,0.67566,1.03124,0.42716,0.85278,0.98363,0.49138,0.49605,0.44168,0.98363,0.49138,0.49605,0.39761,0.5572,0.76301,0.39105,0.83141,0.000907848,0.000907848,0.000907848
48,3856.35,0.66631,1.0288,0.42094,0.85168,0.48297,0.49533,0.4954,0.43688,0.48262,0.49497,0.49537,0.4019,0.57169,0.69834,0.40399,0.82713,0.000891345,0.000891345,0.000891345
49,3938.46,0.68731,1.06113,0.4278,0.85522,0.48587,0.4921,0.49648,0.42095,0.48587,0.4921,0.49648,0.41641,0.67098,0.72379,0.42035,0.84573,0.000874842,0.000874842,0.000874842
50,4018.14,0.67651,1.02134,0.42558,0.85265,0.49054,0.48429,0.49589,0.43401,0.49054,0.48429,0.49589,0.40234,0.60584,0.76142,0.40346,0.83708,0.000858338,0.000858338,0.000858338
51,4097.67,0.65771,0.97418,0.41703,0.84563,0.98956,0.48846,0.49617,0.43689,0.98956,0.48846,0.49617,0.41525,0.58132,0.7019,0.39806,0.82957,0.000841835,0.000841835,0.000841835
52,4176.69,0.68195,1.00491,0.43072,0.84859,0.4846,0.48994,0.49565,0.44873,0.4846,0.48994,0.49565,0.39983,0.49734,0.61216,0.39637,0.82151,0.000825332,0.000825332,0.000825332
53,4258.29,0.66991,1.00001,0.42118,0.84826,0.48157,0.49389,0.49623,0.44105,0.48157,0.49389,0.49623,0.40607,0.57685,0.66476,0.40707,0.83016,0.000808828,0.000808828,0.000808828
54,4337.47,0.67245,0.97748,0.41667,0.85066,0.97996,0.49041,0.49554,0.43596,0.98068,0.48922,0.49553,0.40003,0.58392,0.62725,0.40733,0.82895,0.000792325,0.000792325,0.000792325
55,4419.83,0.69696,1.04205,0.42316,0.85531,0.9822,0.48958,0.49501,0.42787,0.98149,0.48886,0.4949,0.41215,0.61815,0.67061,0.40217,0.83829,0.000775822,0.000775822,0.000775822
56,4499.38,0.67198,1.00167,0.41384,0.84683,0.47553,0.49497,0.49506,0.42788,0.47553,0.49497,0.49506,0.41261,0.6487,0.6595,0.41162,0.84671,0.000759318,0.000759318,0.000759318
57,4578.73,0.66253,1.00504,0.41366,0.84876,0.48472,0.48671,0.49447,0.43199,0.48472,0.48671,0.49447,0.40705,0.614,0.7179,0.40562,0.8377,0.000742815,0.000742815,0.000742815
58,4660.3,0.66905,0.99836,0.41045,0.84803,0.48721,0.49255,0.49636,0.42821,0.48721,0.49255,0.49636,0.40746,0.6326,0.71851,0.39623,0.84155,0.000726312,0.000726312,0.000726312
59,4738.56,0.64431,0.96442,0.39908,0.84214,0.98641,0.48851,0.4956,0.44396,0.98641,0.48851,0.4956,0.40131,0.52225,0.66282,0.38175,0.82389,0.000709809,0.000709809,0.000709809
60,4817.36,0.62831,0.93185,0.39419,0.84204,0.97976,0.49389,0.49518,0.44518,0.97976,0.49389,0.49518,0.4013,0.51601,0.64313,0.37817,0.81875,0.000693305,0.000693305,0.000693305
61,4896.52,0.63474,0.93661,0.39701,0.8431,0.47976,0.49174,0.49607,0.42881,0.47996,0.49174,0.49606,0.41737,0.6486,0.68469,0.3986,0.84773,0.000676802,0.000676802,0.000676802
62,4977.16,0.6493,0.96978,0.40305,0.84388,0.98339,0.49102,0.49536,0.43955,0.98339,0.49102,0.49536,0.41598,0.58629,0.61397,0.38131,0.8316,0.000660299,0.000660299,0.000660299
63,5056.98,0.64802,0.96553,0.39761,0.84243,0.48378,0.49138,0.49592,0.44026,0.48378,0.49138,0.49592,0.40946,0.56164,0.64193,0.3835,0.82667,0.000643795,0.000643795,0.000643795
64,5135.35,0.63504,0.96621,0.39144,0.84192,0.4813,0.48779,0.49563,0.4449,0.4813,0.48779,0.49563,0.41737,0.56127,0.65435,0.38277,0.82209,0.000627292,0.000627292,0.000627292
65,5214.81,0.6411,0.97016,0.39421,0.8431,0.48512,0.49169,0.49596,0.43995,0.48476,0.49133,0.49589,0.40014,0.57092,0.75551,0.3818,0.83265,0.000610789,0.000610789,0.000610789
66,5295.66,0.63238,0.94081,0.38594,0.84102,0.48624,0.48851,0.49619,0.44321,0.48624,0.48851,0.49619,0.40539,0.57446,0.69674,0.37572,0.82418,0.000594286,0.000594286,0.000594286
67,5376.92,0.63636,0.95836,0.39336,0.84356,0.98273,0.49192,0.49605,0.44695,0.98202,0.4912,0.49596,0.3942,0.51471,0.57129,0.36912,0.81712,0.000577782,0.000577782,0.000577782
68,5454.98,0.61097,0.88449,0.38118,0.83779,0.48688,0.48671,0.49568,0.44495,0.48688,0.48671,0.49568,0.40071,0.53481,0.6787,0.37063,0.82134,0.000561279,0.000561279,0.000561279
69,5536.53,0.66498,0.9877,0.39684,0.84617,0.48569,0.49066,0.49604,0.4347,0.48569,0.49066,0.49604,0.40102,0.63292,0.71937,0.39045,0.84029,0.000544776,0.000544776,0.000544776
70,5619.61,0.62497,0.91108,0.38191,0.83781,0.98312,0.48635,0.49545,0.44198,0.98318,0.48635,0.49543,0.39861,0.57757,0.62571,0.38989,0.82676,0.000528272,0.000528272,0.000528272
71,5700.5,0.63678,0.96338,0.38432,0.84272,0.48543,0.48994,0.49575,0.44947,0.48543,0.48994,0.49575,0.40762,0.54329,0.6149,0.37169,0.82258,0.000511769,0.000511769,0.000511769
72,5781.79,0.62865,0.95079,0.38127,0.83931,0.98616,0.49282,0.49616,0.43712,0.98616,0.49282,0.49616,0.41333,0.58886,0.6842,0.37353,0.83401,0.000495266,0.000495266,0.000495266
73,5861.08,0.6301,0.93336,0.38596,0.83953,0.98444,0.49282,0.49593,0.45357,0.98444,0.49282,0.49593,0.41686,0.49572,0.63046,0.35727,0.81312,0.000478762,0.000478762,0.000478762
74,5938.81,0.63204,0.93298,0.38367,0.8415,0.98568,0.48455,0.49527,0.45343,0.98568,0.48455,0.49527,0.40749,0.49126,0.63219,0.36277,0.81554,0.000462259,0.000462259,0.000462259
75,6022.4,0.63965,0.96411,0.38555,0.84396,0.98513,0.49229,0.49632,0.44686,0.98513,0.49229,0.49632,0.40418,0.55088,0.67,0.36876,0.8228,0.000445756,0.000445756,0.000445756
76,6103.71,0.63349,0.9439,0.37958,0.83873,0.9876,0.48886,0.49597,0.43252,0.98767,0.48851,0.49594,0.38754,0.64221,0.70975,0.39285,0.83619,0.000429253,0.000429253,0.000429253
77,6185.14,0.60172,0.88294,0.36825,0.83659,0.4862,0.49371,0.49626,0.45498,0.4862,0.49371,0.49626,0.40936,0.47678,0.60288,0.34611,0.81238,0.000412749,0.000412749,0.000412749
78,6267.31,0.61471,0.94391,0.37666,0.83676,0.4807,0.49202,0.49556,0.44175,0.4807,0.49202,0.49556,0.40351,0.54341,0.63477,0.36856,0.82414,0.000396246,0.000396246,0.000396246
