epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2419.33,0.71749,1.12414,0.47832,0.85881,0.98376,0.48922,0.4959,0.43268,0.98376,0.48922,0.4959,0.36963,0.58036,0.92404,0.42882,0.83461,0.0011884,0.0011884,0.0011884
31,2499.86,0.7438,1.19384,0.48409,0.86824,0.9759,0.4903,0.49364,0.43618,0.97486,0.48922,0.49336,0.36808,0.56215,0.8374,0.44875,0.8274,0.0011719,0.0011719,0.0011719
32,2579.75,0.71892,1.11713,0.47344,0.85843,0.98093,0.48904,0.49355,0.42519,0.98093,0.48904,0.49355,0.38586,0.64358,0.78002,0.45819,0.84294,0.0011554,0.0011554,0.0011554
33,2657.84,0.73689,1.10969,0.47637,0.86723,0.98315,0.48401,0.49394,0.4382,0.98279,0.48365,0.4938,0.3837,0.53097,0.6898,0.42256,0.8253,0.00113889,0.00113889,0.00113889
34,2738.16,0.70717,1.10237,0.47749,0.8569,0.98259,0.4903,0.49418,0.42378,0.98259,0.4903,0.49418,0.39828,0.63869,0.76978,0.43025,0.84603,0.00112239,0.00112239,0.00112239
35,2818.61,0.69334,1.11651,0.45917,0.86006,0.98021,0.4842,0.49402,0.43693,0.97985,0.48384,0.49375,0.38612,0.54116,0.7013,0.43892,0.82978,0.00110589,0.00110589,0.00110589
36,2898.58,0.68718,1.06595,0.45201,0.85599,0.98297,0.48907,0.4949,0.41444,0.98297,0.48907,0.4949,0.38445,0.6633,0.84775,0.4422,0.85312,0.00108938,0.00108938,0.00108938
37,2980.27,0.72455,1.1142,0.47214,0.86244,0.47887,0.48029,0.49302,0.43572,0.47851,0.47993,0.49294,0.40449,0.54171,0.65065,0.43286,0.82734,0.00107288,0.00107288,0.00107288
38,3062.51,0.69388,1.06617,0.45734,0.85449,0.98349,0.48851,0.49437,0.42803,0.98349,0.48851,0.49437,0.3919,0.6167,0.73222,0.43059,0.84022,0.00105638,0.00105638,0.00105638
39,3140.23,0.69076,1.07291,0.4605,0.85734,0.97574,0.48958,0.49333,0.42562,0.97574,0.48958,0.49333,0.39862,0.61529,0.72736,0.42627,0.84279,0.00103987,0.00103987,0.00103987
40,3219.29,0.7135,1.06099,0.45932,0.86005,0.978,0.48779,0.49429,0.4404,0.978,0.48779,0.49429,0.39466,0.52822,0.73618,0.41827,0.8259,0.00102337,0.00102337,0.00102337
