epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2720.47,1.50913,2.29236,1.11958,1.10147,0.70622,0.76325,0.77733,0.49861,0.70759,0.72297,0.7425,0.36535,1.27379,1.68828,1.00558,1.01325,0.00103288,0.00103288,0.00103288
30,2814.19,1.52028,2.26742,1.10322,1.10014,0.71568,0.74744,0.77059,0.48871,0.70628,0.71915,0.73473,0.37873,1.26905,1.73325,0.99103,1.02878,0.00101873,0.00101873,0.00101873
31,2906.75,1.5107,2.30309,1.09908,1.09817,0.76194,0.7521,0.78166,0.49968,0.75913,0.74362,0.77067,0.4054,1.24521,1.7126,0.98684,1.00814,0.00100459,0.00100459,0.00100459
32,3000.28,1.50551,2.26428,1.09904,1.08984,0.77365,0.78134,0.803,0.50777,0.76793,0.75057,0.77738,0.41641,1.23312,1.69042,0.97503,0.99504,0.00099044,0.00099044,0.00099044
33,3091.98,1.49089,2.23189,1.06883,1.07822,0.74502,0.77186,0.79903,0.51579,0.73901,0.7407,0.77036,0.40214,1.24471,1.66914,0.95817,1.02181,0.000976293,0.000976293,0.000976293
34,3184.67,1.51543,2.2857,1.08081,1.09089,0.72011,0.76203,0.77324,0.49947,0.71199,0.75892,0.75611,0.38682,1.23222,1.70387,0.97462,1.0016,0.000962146,0.000962146,0.000962146
35,3278.07,1.47337,2.23529,1.04447,1.07369,0.7064,0.79437,0.80303,0.51413,0.69383,0.75622,0.77332,0.41308,1.23556,1.66936,0.95055,1.0054,0.000947999,0.000947999,0.000947999
36,3370.61,1.47091,2.22187,1.04748,1.06981,0.74322,0.78275,0.79859,0.51389,0.7273,0.74231,0.76282,0.3867,1.21199,1.65678,0.95529,0.99492,0.000933851,0.000933851,0.000933851
37,3464.61,1.46885,2.23501,1.0449,1.07254,0.73365,0.77863,0.79023,0.50881,0.73786,0.74941,0.76933,0.40686,1.25699,1.6681,0.9545,1.01029,0.000919704,0.000919704,0.000919704
38,3557.31,1.45409,2.1879,1.04527,1.07184,0.77593,0.75874,0.81018,0.5272,0.77451,0.75089,0.80132,0.45192,1.24418,1.69198,0.93271,1.00923,0.000905557,0.000905557,0.000905557
39,3648.87,1.45659,2.17801,1.01513,1.07064,0.76381,0.77803,0.81598,0.52542,0.7395,0.74254,0.77802,0.39881,1.19964,1.64304,0.90661,0.99381,0.00089141,0.00089141,0.00089141
40,3741.93,1.43389,2.17011,1.00618,1.0573,0.74774,0.7936,0.81233,0.53155,0.75424,0.75952,0.78139,0.41397,1.19935,1.63231,0.92187,0.99175,0.000877263,0.000877263,0.000877263
41,3835.74,1.4076,2.12862,0.98569,1.05256,0.75923,0.79212,0.81264,0.54201,0.75849,0.76603,0.79342,0.42518,1.19546,1.63517,0.90067,0.97953,0.000863116,0.000863116,0.000863116
42,3930.09,1.41673,2.12663,0.97741,1.05572,0.77059,0.79693,0.81937,0.5224,0.75677,0.75695,0.7719,0.39288,1.24171,1.62021,0.9111,1.00378,0.000848969,0.000848969,0.000848969
43,4021.86,1.41228,2.14818,0.98431,1.05542,0.75129,0.78404,0.80664,0.52478,0.7256,0.74806,0.76724,0.40463,1.22743,1.6553,0.89859,0.998,0.000834822,0.000834822,0.000834822
44,4113.66,1.40065,2.1155,0.95348,1.04945,0.7672,0.79516,0.82318,0.5413,0.76329,0.77417,0.79778,0.42629,1.18409,1.63473,0.86477,0.97596,0.000820675,0.000820675,0.000820675
45,4206.01,1.40456,2.11956,0.95275,1.04539,0.7758,0.78659,0.82318,0.55076,0.79664,0.76444,0.80748,0.44382,1.17585,1.62972,0.85252,0.97707,0.000806528,0.000806528,0.000806528
46,4297.96,1.4036,2.13304,0.95845,1.04562,0.755,0.79343,0.82097,0.5408,0.74174,0.77837,0.79834,0.41891,1.19679,1.63519,0.89261,0.98639,0.00079238,0.00079238,0.00079238
47,4389.05,1.38331,2.10991,0.93834,1.03517,0.7753,0.79483,0.82735,0.5395,0.77328,0.75556,0.79381,0.41602,1.20205,1.61915,0.87783,0.98404,0.000778233,0.000778233,0.000778233
48,4480.41,1.37512,2.09245,0.92541,1.03502,0.78952,0.80592,0.83989,0.5526,0.76798,0.78691,0.81611,0.43918,1.17642,1.61911,0.86275,0.97444,0.000764086,0.000764086,0.000764086
49,4573.14,1.39035,2.09161,0.93914,1.04066,0.81345,0.80153,0.8428,0.54753,0.80002,0.79127,0.81905,0.43477,1.18525,1.61167,0.85024,0.98386,0.000749939,0.000749939,0.000749939
50,4665.12,1.35847,2.0577,0.90965,1.02827,0.79339,0.80821,0.8388,0.55306,0.77765,0.79111,0.81275,0.45352,1.17822,1.59578,0.83658,0.97605,0.000735792,0.000735792,0.000735792
51,4758.35,1.36136,2.04681,0.90798,1.02637,0.78494,0.82702,0.85126,0.56199,0.78619,0.79865,0.83244,0.45024,1.15742,1.56635,0.81943,0.96742,0.000721645,0.000721645,0.000721645
52,4850.6,1.35733,2.04485,0.9045,1.02798,0.77953,0.79126,0.84133,0.55325,0.75625,0.77228,0.81326,0.42318,1.18544,1.60031,0.87777,0.98178,0.000707498,0.000707498,0.000707498
53,4942.09,1.36696,2.05109,0.91062,1.03116,0.79542,0.80328,0.83915,0.55454,0.78589,0.76561,0.80761,0.4174,1.16773,1.57791,0.85103,0.97135,0.000693351,0.000693351,0.000693351
54,5033.61,1.35853,2.0537,0.91204,1.02934,0.82679,0.79816,0.84675,0.5632,0.80635,0.78124,0.81185,0.45298,1.15499,1.5905,0.83434,0.96988,0.000679204,0.000679204,0.000679204
